GEO,SEX,AGE,TIME,ISCED11,Percent
Belgium,Males,15-64,2014,G1,6.6
Belgium,Males,15-64,2014,G2,5.2
Belgium,Males,15-64,2014,G3,2.7
Belgium,Females,15-64,2014,G1,10.1
Belgium,Females,15-64,2014,G2,8.0
Belgium,Females,15-64,2014,G3,4.9
Bulgaria,Males,15-64,2014,G1,2.5
Bulgaria,Males,15-64,2014,G2,1.5
Bulgaria,Males,15-64,2014,G3,1.1
Bulgaria,Females,15-64,2014,G1,3.7
Bulgaria,Females,15-64,2014,G2,3.7
Bulgaria,Females,15-64,2014,G3,2.1
Czechia,Males,15-64,2014,G1,2.5
Czechia,Males,15-64,2014,G2,3.4
Czechia,Males,15-64,2014,G3,2.4
Czechia,Females,15-64,2014,G1,4.5
Czechia,Females,15-64,2014,G2,4.7
Czechia,Females,15-64,2014,G3,1.2
Denmark,Males,15-64,2014,G1,7.3
Denmark,Males,15-64,2014,G2,7.5
Denmark,Males,15-64,2014,G3,5.7
Denmark,Females,15-64,2014,G1,16.3
Denmark,Females,15-64,2014,G2,9.7
Denmark,Females,15-64,2014,G3,7.9
Germany,Males,15-64,2014,G1,11.0
Germany,Males,15-64,2014,G2,10.1
Germany,Males,15-64,2014,G3,8.0
Germany,Females,15-64,2014,G1,16.3
Germany,Females,15-64,2014,G2,13.5
Germany,Females,15-64,2014,G3,9.9
Estonia,Males,15-64,2014,G1,5.1
Estonia,Males,15-64,2014,G2,4.4
Estonia,Males,15-64,2014,G3,3.2
Estonia,Females,15-64,2014,G1,6.7
Estonia,Females,15-64,2014,G2,6.2
Estonia,Females,15-64,2014,G3,5.3
Ireland,Males,15-64,2014,G1,16.3
Ireland,Males,15-64,2014,G2,10.0
Ireland,Males,15-64,2014,G3,7.3
Ireland,Females,15-64,2014,G1,20.3
Ireland,Females,15-64,2014,G2,16.0
Ireland,Females,15-64,2014,G3,9.8
Greece,Males,15-64,2014,G1,3.1
Greece,Males,15-64,2014,G2,2.5
Greece,Males,15-64,2014,G3,1.9
Greece,Females,15-64,2014,G1,6.3
Greece,Females,15-64,2014,G2,3.6
Greece,Females,15-64,2014,G3,2.5
Spain,Males,15-64,2014,G1,5.3
Spain,Males,15-64,2014,G2,4.3
Spain,Males,15-64,2014,G3,2.3
Spain,Females,15-64,2014,G1,12.0
Spain,Females,15-64,2014,G2,7.6
Spain,Females,15-64,2014,G3,3.9
France,Males,15-64,2014,G1,5.5
France,Males,15-64,2014,G2,3.3
France,Males,15-64,2014,G3,3.9
France,Females,15-64,2014,G1,9.4
France,Females,15-64,2014,G2,7.5
France,Females,15-64,2014,G3,5.0
Croatia,Males,15-64,2014,G1,7.2
Croatia,Males,15-64,2014,G2,4.5
Croatia,Males,15-64,2014,G3,2.3
Croatia,Females,15-64,2014,G1,6.5
Croatia,Females,15-64,2014,G2,4.2
Croatia,Females,15-64,2014,G3,2.6
Italy,Males,15-64,2014,G1,3.6
Italy,Males,15-64,2014,G2,2.2
Italy,Males,15-64,2014,G3,1.8
Italy,Females,15-64,2014,G1,5.9
Italy,Females,15-64,2014,G2,3.6
Italy,Females,15-64,2014,G3,1.7
Cyprus,Males,15-64,2014,G1,4.3
Cyprus,Males,15-64,2014,G2,2.0
Cyprus,Males,15-64,2014,G3,1.0
Cyprus,Females,15-64,2014,G1,6.5
Cyprus,Females,15-64,2014,G2,3.5
Cyprus,Females,15-64,2014,G3,1.3
Latvia,Males,15-64,2014,G1,7.0
Latvia,Males,15-64,2014,G2,5.5
Latvia,Males,15-64,2014,G3,5.6
Latvia,Females,15-64,2014,G1,11.8
Latvia,Females,15-64,2014,G2,12.2
Latvia,Females,15-64,2014,G3,8.6
Lithuania,Males,15-64,2014,G1,3.3
Lithuania,Males,15-64,2014,G2,2.6
Lithuania,Males,15-64,2014,G3,0.9
Lithuania,Females,15-64,2014,G1,7.2
Lithuania,Females,15-64,2014,G2,6.1
Lithuania,Females,15-64,2014,G3,1.5
Luxembourg,Males,15-64,2014,G1,12.4
Luxembourg,Males,15-64,2014,G2,9.1
Luxembourg,Males,15-64,2014,G3,4.7
Luxembourg,Females,15-64,2014,G1,14.1
Luxembourg,Females,15-64,2014,G2,13.4
Luxembourg,Females,15-64,2014,G3,7.4
Hungary,Males,15-64,2014,G1,4.3
Hungary,Males,15-64,2014,G2,2.8
Hungary,Males,15-64,2014,G3,2.4
Hungary,Females,15-64,2014,G1,10.2
Hungary,Females,15-64,2014,G2,4.6
Hungary,Females,15-64,2014,G3,2.6
Malta,Males,15-64,2014,G1,5.4
Malta,Males,15-64,2014,G2,2.2
Malta,Males,15-64,2014,G3,2.7
Malta,Females,15-64,2014,G1,8.2
Malta,Females,15-64,2014,G2,2.4
Malta,Females,15-64,2014,G3,0.5
Netherlands,Males,15-64,2014,G1,10.8
Netherlands,Males,15-64,2014,G2,6.8
Netherlands,Males,15-64,2014,G3,4.2
Netherlands,Females,15-64,2014,G1,11.8
Netherlands,Females,15-64,2014,G2,10.7
Netherlands,Females,15-64,2014,G3,4.5
Austria,Males,15-64,2014,G1,8.3
Austria,Males,15-64,2014,G2,4.9
Austria,Males,15-64,2014,G3,3.3
Austria,Females,15-64,2014,G1,12.8
Austria,Females,15-64,2014,G2,7.4
Austria,Females,15-64,2014,G3,6.7
Poland,Males,15-64,2014,G1,2.5
Poland,Males,15-64,2014,G2,2.6
Poland,Males,15-64,2014,G3,1.9
Poland,Females,15-64,2014,G1,5.7
Poland,Females,15-64,2014,G2,5.3
Poland,Females,15-64,2014,G3,3.1
Portugal,Males,15-64,2014,G1,6.1
Portugal,Males,15-64,2014,G2,2.5
Portugal,Males,15-64,2014,G3,3.5
Portugal,Females,15-64,2014,G1,19.3
Portugal,Females,15-64,2014,G2,10.2
Portugal,Females,15-64,2014,G3,8.2
Romania,Males,15-64,2014,G1,1.4
Romania,Males,15-64,2014,G2,0.8
Romania,Males,15-64,2014,G3,0.5
Romania,Females,15-64,2014,G1,2.0
Romania,Females,15-64,2014,G2,1.5
Romania,Females,15-64,2014,G3,0.7
Slovenia,Males,15-64,2014,G1,6.4
Slovenia,Males,15-64,2014,G2,7.0
Slovenia,Males,15-64,2014,G3,6.6
Slovenia,Females,15-64,2014,G1,17.0
Slovenia,Females,15-64,2014,G2,8.8
Slovenia,Females,15-64,2014,G3,6.3
Slovakia,Males,15-64,2014,G1,5.0
Slovakia,Males,15-64,2014,G2,2.7
Slovakia,Males,15-64,2014,G3,1.8
Slovakia,Females,15-64,2014,G1,5.2
Slovakia,Females,15-64,2014,G2,5.2
Slovakia,Females,15-64,2014,G3,1.9
Finland,Males,15-64,2014,G1,10.0
Finland,Males,15-64,2014,G2,10.4
Finland,Males,15-64,2014,G3,7.7
Finland,Females,15-64,2014,G1,12.5
Finland,Females,15-64,2014,G2,14.7
Finland,Females,15-64,2014,G3,10.2
Sweden,Males,15-64,2014,G1,8.3
Sweden,Males,15-64,2014,G2,8.1
Sweden,Males,15-64,2014,G3,8.9
Sweden,Females,15-64,2014,G1,18.3
Sweden,Females,15-64,2014,G2,15.0
Sweden,Females,15-64,2014,G3,9.9
Iceland,Males,15-64,2014,G1,18.2
Iceland,Males,15-64,2014,G2,12.2
Iceland,Males,15-64,2014,G3,9.3
Iceland,Females,15-64,2014,G1,29.2
Iceland,Females,15-64,2014,G2,19.3
Iceland,Females,15-64,2014,G3,10.1
Norway,Males,15-64,2014,G1,8.8
Norway,Males,15-64,2014,G2,5.1
Norway,Males,15-64,2014,G3,3.2
Norway,Females,15-64,2014,G1,14.3
Norway,Females,15-64,2014,G2,10.1
Norway,Females,15-64,2014,G3,4.8
United Kingdom,Males,15-64,2014,G1,12.3
United Kingdom,Males,15-64,2014,G2,7.3
United Kingdom,Males,15-64,2014,G3,5.7
United Kingdom,Females,15-64,2014,G1,15.4
United Kingdom,Females,15-64,2014,G2,12.0
United Kingdom,Females,15-64,2014,G3,7.9
Serbia,Males,15-64,2014,G1,-1
Serbia,Males,15-64,2014,G2,-1
Serbia,Males,15-64,2014,G3,-1
Serbia,Females,15-64,2014,G1,-1
Serbia,Females,15-64,2014,G2,-1
Serbia,Females,15-64,2014,G3,-1
Turkey,Males,15-64,2014,G1,7.4
Turkey,Males,15-64,2014,G2,6.9
Turkey,Males,15-64,2014,G3,5.8
Turkey,Females,15-64,2014,G1,15.7
Turkey,Females,15-64,2014,G2,13.6
Turkey,Females,15-64,2014,G3,10.9
Belgium,Males,15-64,2018,G1,7.0
Belgium,Males,15-64,2018,G2,6.4
Belgium,Males,15-64,2018,G3,3.6
Belgium,Females,15-64,2018,G1,12.6
Belgium,Females,15-64,2018,G2,7.5
Belgium,Females,15-64,2018,G3,8.3
Bulgaria,Males,15-64,2018,G1,2.9
Bulgaria,Males,15-64,2018,G2,1.2
Bulgaria,Males,15-64,2018,G3,1.2
Bulgaria,Females,15-64,2018,G1,4.1
Bulgaria,Females,15-64,2018,G2,2.8
Bulgaria,Females,15-64,2018,G3,1.8
Czechia,Males,15-64,2018,G1,6.9
Czechia,Males,15-64,2018,G2,2.8
Czechia,Males,15-64,2018,G3,1.9
Czechia,Females,15-64,2018,G1,4.7
Czechia,Females,15-64,2018,G2,5.3
Czechia,Females,15-64,2018,G3,2.1
Denmark,Males,15-64,2018,G1,15.2
Denmark,Males,15-64,2018,G2,9.4
Denmark,Males,15-64,2018,G3,7.5
Denmark,Females,15-64,2018,G1,18.8
Denmark,Females,15-64,2018,G2,12.9
Denmark,Females,15-64,2018,G3,7.9
Germany,Males,15-64,2018,G1,13.0
Germany,Males,15-64,2018,G2,13.1
Germany,Males,15-64,2018,G3,5.6
Germany,Females,15-64,2018,G1,21.7
Germany,Females,15-64,2018,G2,14.3
Germany,Females,15-64,2018,G3,9.6
Estonia,Males,15-64,2018,G1,5.6
Estonia,Males,15-64,2018,G2,5.6
Estonia,Males,15-64,2018,G3,4.1
Estonia,Females,15-64,2018,G1,12.6
Estonia,Females,15-64,2018,G2,11.6
Estonia,Females,15-64,2018,G3,6.4
Ireland,Males,15-64,2018,G1,4.0
Ireland,Males,15-64,2018,G2,4.5
Ireland,Males,15-64,2018,G3,2.5
Ireland,Females,15-64,2018,G1,7.7
Ireland,Females,15-64,2018,G2,4.9
Ireland,Females,15-64,2018,G3,2.7
Greece,Males,15-64,2018,G1,4.0
Greece,Males,15-64,2018,G2,2.0
Greece,Males,15-64,2018,G3,0.6
Greece,Females,15-64,2018,G1,5.6
Greece,Females,15-64,2018,G2,4.0
Greece,Females,15-64,2018,G3,2.6
Spain,Males,15-64,2018,G1,4.1
Spain,Males,15-64,2018,G2,3.0
Spain,Males,15-64,2018,G3,1.9
Spain,Females,15-64,2018,G1,7.8
Spain,Females,15-64,2018,G2,6.1
Spain,Females,15-64,2018,G3,2.9
France,Males,15-64,2018,G1,7.2
France,Males,15-64,2018,G2,4.8
France,Males,15-64,2018,G3,4.4
France,Females,15-64,2018,G1,11.6
France,Females,15-64,2018,G2,7.8
France,Females,15-64,2018,G3,7.4
Croatia,Males,15-64,2018,G1,11.0
Croatia,Males,15-64,2018,G2,7.5
Croatia,Males,15-64,2018,G3,1.9
Croatia,Females,15-64,2018,G1,17.1
Croatia,Females,15-64,2018,G2,9.2
Croatia,Females,15-64,2018,G3,2.7
Italy,Males,15-64,2018,G1,3.4
Italy,Males,15-64,2018,G2,1.8
Italy,Males,15-64,2018,G3,2.0
Italy,Females,15-64,2018,G1,5.4
Italy,Females,15-64,2018,G2,3.0
Italy,Females,15-64,2018,G3,2.2
Cyprus,Males,15-64,2018,G1,6.6
Cyprus,Males,15-64,2018,G2,2.0
Cyprus,Males,15-64,2018,G3,1.6
Cyprus,Females,15-64,2018,G1,8.2
Cyprus,Females,15-64,2018,G2,3.3
Cyprus,Females,15-64,2018,G3,2.4
Latvia,Males,15-64,2018,G1,10.2
Latvia,Males,15-64,2018,G2,5.2
Latvia,Males,15-64,2018,G3,5.4
Latvia,Females,15-64,2018,G1,10.4
Latvia,Females,15-64,2018,G2,11.7
Latvia,Females,15-64,2018,G3,9.2
Lithuania,Males,15-64,2018,G1,8.1
Lithuania,Males,15-64,2018,G2,4.5
Lithuania,Males,15-64,2018,G3,4.1
Lithuania,Females,15-64,2018,G1,8.7
Lithuania,Females,15-64,2018,G2,8.1
Lithuania,Females,15-64,2018,G3,4.6
Luxembourg,Males,15-64,2018,G1,9.9
Luxembourg,Males,15-64,2018,G2,10.1
Luxembourg,Males,15-64,2018,G3,7.6
Luxembourg,Females,15-64,2018,G1,21.8
Luxembourg,Females,15-64,2018,G2,14.1
Luxembourg,Females,15-64,2018,G3,7.7
Hungary,Males,15-64,2018,G1,3.0
Hungary,Males,15-64,2018,G2,3.0
Hungary,Males,15-64,2018,G3,3.1
Hungary,Females,15-64,2018,G1,6.3
Hungary,Females,15-64,2018,G2,5.8
Hungary,Females,15-64,2018,G3,3.1
Malta,Males,15-64,2018,G1,3.3
Malta,Males,15-64,2018,G2,1.7
Malta,Males,15-64,2018,G3,2.2
Malta,Females,15-64,2018,G1,5.9
Malta,Females,15-64,2018,G2,3.5
Malta,Females,15-64,2018,G3,2.2
Netherlands,Males,15-64,2018,G1,10.9
Netherlands,Males,15-64,2018,G2,8.0
Netherlands,Males,15-64,2018,G3,4.5
Netherlands,Females,15-64,2018,G1,12.6
Netherlands,Females,15-64,2018,G2,11.1
Netherlands,Females,15-64,2018,G3,6.7
Austria,Males,15-64,2018,G1,9.3
Austria,Males,15-64,2018,G2,5.8
Austria,Males,15-64,2018,G3,4.0
Austria,Females,15-64,2018,G1,14.8
Austria,Females,15-64,2018,G2,7.9
Austria,Females,15-64,2018,G3,5.1
Poland,Males,15-64,2018,G1,3.4
Poland,Males,15-64,2018,G2,2.9
Poland,Males,15-64,2018,G3,2.4
Poland,Females,15-64,2018,G1,3.8
Poland,Females,15-64,2018,G2,4.9
Poland,Females,15-64,2018,G3,3.2
Portugal,Males,15-64,2018,G1,7.4
Portugal,Males,15-64,2018,G2,6.3
Portugal,Males,15-64,2018,G3,4.4
Portugal,Females,15-64,2018,G1,17.2
Portugal,Females,15-64,2018,G2,10.3
Portugal,Females,15-64,2018,G3,7.5
Romania,Males,15-64,2018,G1,0.7
Romania,Males,15-64,2018,G2,0.7
Romania,Males,15-64,2018,G3,0.1
Romania,Females,15-64,2018,G1,1.1
Romania,Females,15-64,2018,G2,1.0
Romania,Females,15-64,2018,G3,0.4
Slovenia,Males,15-64,2018,G1,7.2
Slovenia,Males,15-64,2018,G2,5.9
Slovenia,Males,15-64,2018,G3,5.2
Slovenia,Females,15-64,2018,G1,13.4
Slovenia,Females,15-64,2018,G2,11.5
Slovenia,Females,15-64,2018,G3,8.0
Slovakia,Males,15-64,2018,G1,6.0
Slovakia,Males,15-64,2018,G2,2.6
Slovakia,Males,15-64,2018,G3,2.7
Slovakia,Females,15-64,2018,G1,12.2
Slovakia,Females,15-64,2018,G2,4.8
Slovakia,Females,15-64,2018,G3,1.5
Finland,Males,15-64,2018,G1,8.4
Finland,Males,15-64,2018,G2,10.6
Finland,Males,15-64,2018,G3,4.6
Finland,Females,15-64,2018,G1,15.2
Finland,Females,15-64,2018,G2,12.7
Finland,Females,15-64,2018,G3,9.6
Sweden,Males,15-64,2018,G1,16.6
Sweden,Males,15-64,2018,G2,11.8
Sweden,Males,15-64,2018,G3,10.0
Sweden,Females,15-64,2018,G1,16.7
Sweden,Females,15-64,2018,G2,16.6
Sweden,Females,15-64,2018,G3,14.0
Iceland,Males,15-64,2018,G1,18.9
Iceland,Males,15-64,2018,G2,14.6
Iceland,Males,15-64,2018,G3,10.2
Iceland,Females,15-64,2018,G1,28.3
Iceland,Females,15-64,2018,G2,18.5
Iceland,Females,15-64,2018,G3,12.1
Norway,Males,15-64,2018,G1,12.9
Norway,Males,15-64,2018,G2,6.3
Norway,Males,15-64,2018,G3,3.8
Norway,Females,15-64,2018,G1,17.7
Norway,Females,15-64,2018,G2,9.0
Norway,Females,15-64,2018,G3,7.3
United Kingdom,Males,15-64,2018,G1,-1
United Kingdom,Males,15-64,2018,G2,-1
United Kingdom,Males,15-64,2018,G3,-1
United Kingdom,Females,15-64,2018,G1,-1
United Kingdom,Females,15-64,2018,G2,-1
United Kingdom,Females,15-64,2018,G3,-1
Serbia,Males,15-64,2018,G1,4.8
Serbia,Males,15-64,2018,G2,2.3
Serbia,Males,15-64,2018,G3,1.2
Serbia,Females,15-64,2018,G1,7.1
Serbia,Females,15-64,2018,G2,3.7
Serbia,Females,15-64,2018,G3,1.8
Turkey,Males,15-64,2018,G1,6.1
Turkey,Males,15-64,2018,G2,5.1
Turkey,Males,15-64,2018,G3,5.3
Turkey,Females,15-64,2018,G1,13.7
Turkey,Females,15-64,2018,G2,9.8
Turkey,Females,15-64,2018,G3,8.8
